,index,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,genre,main_genre,subgenre_1,subgenre_2,subgenre_3,subgenre_4,subgenre_5,subgenre_6
121,123,"['27', '53']",7340,9.467,1976-11-03,7.1,1766,26,Carrie,30000000.0,35266619.0,82409520.0,52409520,274.6984,"['Horror', 'Thriller']",Horror,Thriller,,,,,
122,124,"['18', '27']",133805,13.686,2013-10-18,5.9,2681,26,Carrie,30000000.0,35266619.0,82409520.0,52409520,274.6984,"['Drama', 'Horror']",Drama,Horror,,,,,
123,125,"['18', '10749']",37950,9.454,2010-05-01,6.9,1398,31,Charlie St. Cloud,44000000.0,31206263.0,48478084.0,4478084,110.17746363636364,"['Drama', 'Romance']",Drama,Romance,,,,,
124,126,"['35', '10751']",35169,9.45,2010-04-02,4.6,283,17,Furry Vengeance,35000000.0,17630465.0,39340177.0,4340177,112.4005057142857,"['Comedy', 'Family']",Comedy,Family,,,,,
125,127,"['80', '35', '18']",45324,9.432,2010-12-17,6.1,149,32,Casino Jack,12500000.0,2039869.0,2272186.0,-10227814,18.177488,"['Crime', 'Comedy', 'Drama']",Crime,Comedy,Drama,,,,
126,128,"['18', '27', '9648', '53']",36419,9.395,2009-11-07,5.7,416,49,After.Life,4500000.0,108596.0,2481925.0,-2018075,55.15388888888889,"['Drama', 'Horror', 'Mystery', 'Thriller']",Drama,Horror,Mystery,Thriller,,,
127,129,"['35', '18']",44009,9.394,2010-12-29,7.0,150,8,Another Year,8000000.0,3205706.0,20005613.0,12005613,250.0701625,"['Comedy', 'Drama']",Comedy,Drama,,,,,
129,131,"['35', '18', '10749']",37056,9.394,2010-05-14,6.9,1706,89,Letters To Juliet,30000000.0,53032453.0,82148538.0,52148538,273.82846,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,
130,132,['18'],27585,9.389,2010-12-16,6.8,292,52,Rabbit Hole,5000000.0,2229058.0,6205034.0,1205034,124.10068,['Drama'],Drama,,,,,,
131,133,"['28', '35']",44147,9.355,2010-10-29,6.4,356,28,Wild Target,8000000.0,109338.0,5314194.0,-2685806,66.427425,"['Action', 'Comedy']",Action,Comedy,,,,,
132,134,"['27', '18', '53']",38358,9.35,2010-08-27,5.6,519,15,The Last Exorcism,1800000.0,41034350.0,70165900.0,68365900,3898.105555555556,"['Horror', 'Drama', 'Thriller']",Horror,Drama,Thriller,,,,
133,135,"['18', '10751', '10749']",35690,9.237,2010-03-31,7.2,2199,15,The Last Song,20000000.0,62950384.0,92678948.0,72678948,463.39474,"['Drama', 'Family', 'Romance']",Drama,Family,Romance,,,,
134,136,"['35', '10751', '16', '12']",41515,9.096,2010-12-17,5.3,387,62,Yogi Bear,80000000.0,100246011.0,204774690.0,124774690,255.9683625,"['Comedy', 'Family', 'Animation', 'Adventure']",Comedy,Family,Animation,Adventure,,,
135,137,"['80', '18', '53']",38542,9.087,2010-04-30,6.6,280,97,The Disappearance Of Alice Creed,1500000.0,166980.0,1605139.0,105139,107.00926666666666,"['Crime', 'Drama', 'Thriller']",Crime,Drama,Thriller,,,,
136,138,['18'],39486,9.059,2010-10-08,7.0,200,53,Secretariat,35000000.0,59699513.0,60376247.0,25376247,172.50356285714287,['Drama'],Drama,,,,,,
