,original_title,genres,averagerating,numvotes,main_genre,subgenre_1,subgenre_2,primary_name,primary_profession,id,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,release_date
350,Devil,"Horror,Mystery,Thriller",6.2,122080,Horror,Mystery,Thriller,John Erick Dowdle,"director,writer,producer",71,Devil,10000000.0,33679655.0,63354114.0,53354114,633.54114,2010-09-17
351,Devil,"Comedy,Horror",6.2,799,Comedy,Horror,,Vijay,"director,writer,producer",71,Devil,10000000.0,33679655.0,63354114.0,53354114,633.54114,2010-09-17
352,There Be Dragons,"Biography,Drama,War",5.8,4326,Biography,Drama,War,Roland Joffé,"director,producer,writer",21,There Be Dragons,36000000.0,1069334.0,4020990.0,-31979010,11.169416666666667,2011-05-06
353,The Last Exorcism,"Drama,Horror,Thriller",5.6,45815,Drama,Horror,Thriller,Daniel Stamm,"director,writer",15,The Last Exorcism,1800000.0,41034350.0,70165900.0,68365900,3898.105555555556,2010-08-27
354,The Expendables,"Action,Adventure,Thriller",6.5,307897,Action,Adventure,Thriller,Sylvester Stallone,"actor,writer,producer",34,The Expendables,82000000.0,103068524.0,268268174.0,186268174,327.1563097560976,2010-08-03
355,The Reef,"Adventure,Drama,Horror",5.8,15194,Adventure,Drama,Horror,Andrew Traucki,"director,producer,writer",33,The Reef,10000000.0,0.0,15037867.0,5037867,150.37867,2010-05-15
356,Oldboy,"Action,Drama,Mystery",5.8,63231,Action,Drama,Mystery,Spike Lee,"director,producer,writer",32,Oldboy,3000000.0,707391.0,6239723.0,3239723,207.99076666666667,2013-11-27
357,The Beaver,Drama,6.7,45173,Drama,,,Jodie Foster,"actress,director,producer",79,The Beaver,21000000.0,970816.0,5046038.0,-15953962,24.02875238095238,2011-05-05
358,The Lovers,"Action,Adventure,Romance",4.6,2867,Action,Adventure,Romance,Roland Joffé,"director,producer,writer",56,The Lovers,35000000.0,0.0,53899.0,-34946101,0.15399714285714286,2015-02-13
360,The Lovers,"Comedy,Drama,Romance",6.1,2751,Comedy,Drama,Romance,Azazel Jacobs,"director,writer,producer",56,The Lovers,35000000.0,0.0,53899.0,-34946101,0.15399714285714286,2015-02-13
362,Gangster Squad,"Action,Crime,Drama",6.7,195560,Action,Crime,Drama,Ruben Fleischer,"producer,writer,director",4,Gangster Squad,60000000.0,46000903.0,104100903.0,44100903,173.50150499999998,2013-01-11
363,Frozen,"Adventure,Drama,Sport",6.2,62311,Adventure,Drama,Sport,Adam Green,"writer,producer,director",56,Frozen,150000000.0,400738009.0,1272469910.0,1122469910,848.3132733333333,2010-02-05
365,Frozen,"Adventure,Animation,Comedy",7.5,516998,Adventure,Animation,Comedy,Chris Buck,"animation_department,director,writer",56,Frozen,150000000.0,400738009.0,1272469910.0,1122469910,848.3132733333333,2010-02-05
367,Despicable Me,"Animation,Comedy,Family",7.7,464511,Animation,Comedy,Family,Chris Renaud,"producer,actor,director",50,Despicable Me,69000000.0,251513985.0,543464573.0,474464573,787.6298159420289,2010-07-09
368,The Lucky One,"Drama,Romance",6.5,94359,Drama,Romance,,Scott Hicks,"director,writer,assistant_director",87,The Lucky One,25000000.0,60457138.0,96633833.0,71633833,386.535332,2012-04-20
369,Something Wicked,"Drama,Horror,Mystery",4.8,1243,Drama,Horror,Mystery,Darin Scott,"producer,director,writer",68,Something Wicked,3000000.0,0.0,0.0,-3000000,0.0,2014-04-04
370,Cyrus,"Crime,Horror,Mystery",4.7,944,Crime,Horror,Mystery,Mark Vadik,"writer,producer,director",27,Cyrus,7000000.0,7468936.0,10062896.0,3062896,143.75565714285713,2010-06-18
371,Cyrus,"Comedy,Drama,Romance",6.3,32457,Comedy,Drama,Romance,Mark Duplass,"actor,producer,writer",27,Cyrus,7000000.0,7468936.0,10062896.0,3062896,143.75565714285713,2010-06-18
372,Movie 43,Comedy,4.3,92980,Comedy,,,Patrik Forsberg,"producer,director,writer",39,Movie 43,10000000.0,8840453.0,31164747.0,21164747,311.64747,2013-01-25
373,Never Let Me Go,"Drama,Romance,Sci-Fi",7.1,130084,Drama,Romance,Sci-Fi,Mark Romanek,"director,writer,producer",29,Never Let Me Go,15000000.0,2434652.0,11173718.0,-3826282,74.49145333333334,2010-09-15
374,Arthur,"Comedy,Romance",5.7,49013,Comedy,Romance,,Jason Winer,"producer,director,writer",67,Arthur,40000000.0,33035397.0,47787943.0,7787943,119.4698575,2011-04-08
375,Bad Company,Thriller,5.1,10,Thriller,,,Jason King,"producer,director,writer",34,Bad Company,70000000.0,30157016.0,69157016.0,-842984,98.79573714285715,2018-08-14
376,Bad Company,Action,3.3,71,Action,,,Robin Christian,"producer,writer,director",34,Bad Company,70000000.0,30157016.0,69157016.0,-842984,98.79573714285715,2018-08-14
377,The Perfect Host,"Comedy,Crime,Thriller",6.8,23378,Comedy,Crime,Thriller,Nick Tomnay,"director,editor,writer",84,The Perfect Host,1000000.0,48764.0,51587.0,-948413,5.1587000000000005,2010-07-01
378,47 Ronin,"Action,Adventure,Drama",6.3,135754,Action,Adventure,Drama,Carl Rinsch,"director,writer,assistant_director",12,47 Ronin,175000000.0,38362475.0,151716815.0,-23283185,86.69532285714286,2013-12-25
379,Terminator Genisys,"Action,Adventure,Sci-Fi",6.4,234615,Action,Adventure,Sci-Fi,Alan Taylor,"director,producer,writer",49,Terminator Genisys,155000000.0,89760956.0,432150894.0,277150894,278.8070283870968,2015-07-01
380,Tinker Tailor Soldier Spy,"Drama,Mystery,Thriller",7.1,174890,Drama,Mystery,Thriller,Tomas Alfredson,"director,music_department,writer",72,Tinker Tailor Soldier Spy,21000000.0,24149393.0,81452811.0,60452811,387.87052857142857,2011-12-09
381,Four Lions,"Comedy,Crime,Drama",7.3,66209,Comedy,Crime,Drama,Christopher Morris,"actor,writer,composer",79,Four Lions,3750000.0,310007.0,2436111.0,-1313889,64.96296000000001,2010-11-05
382,How Do You Know,"Comedy,Drama,Romance",5.4,41072,Comedy,Drama,Romance,James L. Brooks,"writer,producer,miscellaneous",1,How Do You Know,120000000.0,30212620.0,49628177.0,-70371823,41.356814166666666,2010-12-17
383,Butterfly,"Horror,Thriller",4.7,53,Horror,Thriller,,Edward E. Romero,"casting_department,writer,actor",98,Butterfly,250000.0,0.0,0.0,-250000,0.0,2010-10-31
384,Butterfly,"Documentary,Sport",7.8,16,Documentary,Sport,,Alessandro Cassigoli,"director,writer,editor",98,Butterfly,250000.0,0.0,0.0,-250000,0.0,2010-10-31
385,The Great Gatsby,"Drama,Romance",7.3,433165,Drama,Romance,,Baz Luhrmann,"writer,producer,director",70,The Great Gatsby,190000000.0,144840419.0,351040419.0,161040419,184.7581152631579,2013-05-10
386,Dredd,"Action,Crime,Sci-Fi",7.1,234616,Action,Crime,Sci-Fi,Pete Travis,"director,writer",15,Dredd,45000000.0,13414714.0,41467606.0,-3532394,92.15023555555555,2012-09-21
